Neighbourhood
List of neighbourhoods in Mumbai
Aarey Milk Colony
Agripada
Altamount Road
"Amboli, Mumbai"
Amrut Nagar
Antop Hill
Anushakti Nagar
Aram Nagar
Asalfa
Badhwar Park
Ballard Estate
Bandra Kurla Complex
Bangur Nagar
Bhuleshwar
Bori Bunder
Breach Candy
Byculla
Cavel
"Chandanwadi, Mumbai"
Chandivali
Charni Road
Chinchpokli
Chira Bazaar
Churchgate
Colaba
Cotton Green
Cuffe Parade
Cumbala Hill
D.N. Nagar
Dadar
Dadar Parsi Colony
Dagdi Chawl
Dava Bazaar
Dedh galli
Deonar
Dharavi
Dharavi Island
Dhobitalao
Dindoshi
Fanas Wadi
Ferry Wharf
Fort (Mumbai precinct)
Four Bungalows
Gavangaon
Ghodapdeo
Girgaon
Gokuldham
Gopalrao Deshmukh Marg
Gorai
Gowalia Tank
Guru Tegh Bahadur Nagar
Hindu Colony
"Hiranandani Gardens, Mumbai"
I.C. Colony
Irla
Jagruti Nagar
JB Nagar
Jhow Island
Kajuwadi
Kala Ghoda
Kalanagar
Kalbadevi
Kamathipura
Kannamwar Nagar
Kemps Corner
Khar Danda
Kherwadi
Khotachiwadi
Koliwada
Koombarwara
Lalbaug
Lallubhai Compound
"Land's End, Bandra"
Lion Gate (Mumbai)
Lohar Chawl
Lokhandwala Complex
Madh Island
"Mahalaxmi, Mumbai"
Mahavir Nagar
"Maheshwari Udyan, Mumbai"
Mahim
Mahul
Malabar Hill
"Mandvi, Mumbai"
Manori
"Marine Drive, Mumbai"
Marine Lines
Marol
Matunga
"Matunga Road, Mumbai"
Mazgaon
Mendham's Point
Nagpada
Nana Chowk
Nariman Point
Navy Nagar
Nepean Sea Road
Royal Opera House (Mumbai)
Orlem
Pali Hill
Pali Village
Parel
Prabhadevi
Princess Street (Mumbai)
Pydhonie
Saki Naka
SEEPZ
Sewri
Shimpoli
Shivaji Park
Shivaji Park Residential Zone
SPDC Colony
Sunder Nagar
Tardeo
Thakkar Bappa Colony
Thakurdwar
Umarkhadi
Wadala
Walkeshwar
"Wellington Pier, Mumbai"
Worli
Yashodham
Zaveri Bazaar
